"","ï..X","Y","OBJECTID","NEIGHBORHOOD","NAME","ADDRESS","ADDRESS_NOTES","DAY","TIME","MONTHS","ACCEPT_SNAP_ACCESS","ACCEPT_FMNP","ACCEPT_PHILLY_FOOD_BUCKS_","MAJOR_BUS_SUBWAY_ROUTES"
"1",-75.1215584811801,39.9784309307864,1,"Bridesburg Kensington Port Richmond","Greensgrow Farm Stand","2501 E. Cumberland Ave",NA,"Mon-Sun","Mon-Fri 10am-5pm, Sat-Sun 10am-4pm ","Late May - November","Y","Y",NA,"25, 39, 43, 89"
"2",-75.1336536577542,39.9829744735394,2,"Bridesburg Kensington Port Richmond","Norris Square Neighborhood Project","2141 N. Howard St","Between Norris St and Susquehanna Ave","Wed","11am-1pm","May - November","Applied","Applied",NA,"3, 39, 89"
"3",-75.1094653361926,39.9825495668448,3,"Bridesburg Kensington Port Richmond","Powers Park","Almond and E. Ann St",NA,"Thurs","3-7pm","May - November ",NA,"Y",NA,"15B, 54, 60"
"4",-75.1706702802697,39.9501409326424,4,"Center City","Rittenhouse","18th and Walnut St.",NA,"Tues & Sat","Tues 10am-2pm, Sat 9am-3pm","Tues- June - November; Sat- Year round ",NA,"Y",NA,"9, 17"
"5",-75.1811358677195,39.9490176292606,5,"Center City","Schuylkill River Park","25th and Spruce St",NA,"Wed","3-7pm","May 17th - late October",NA,"Y",NA,"7, 12, 40"
"6",-75.1739859733517,39.9673232257184,6,"Center City","Fairmount","N. 22nd St. and Fairmount Ave.",NA,"Thurs","3-7pm","June 1st - November","Y","Y",NA,"7, 32, 33, 48, PHLASH"
"7",-75.1570642206771,39.9500159958506,7,"Center City","Jefferson","10th and Chestnut St.",NA,"Thurs","11am-3pm","May - November ","McCanns Farm","Y",NA,"MFL (8th or 11th st stop), 47"
"8",-75.1793242367052,39.9473405553032,8,"Center City","Fitler Square Park","23rd and Pine St.",NA,"Sat","9am-2pm","Open year round","Y","Y",NA,"7, 12, 40"
"9",-75.1454519812647,39.9421693880093,9,"Center City","Headhouse","2nd and Lombard St.",NA,"Sun","10am-2pm","Open year round","Y","Y",NA,"12, 40, 57"
"10",-75.1594374002991,39.9539627875632,10,"Center City","Reading Terminal Market","12th and Arch St",NA,"Mon - Sat, Sun","Mon - Sat 8am - 6pm, Sun 9am - 5pm","Year round","Y","Y",NA,"31, 38, 48"
"11",-75.1594374002991,39.9539627875632,11,"Center City","Fair Food Farmstand","12th and Arch St","Reading Terminal Market","Mon - Sat, Sun","Mon - Sat 8am - 6pm, Sun 9am - 5pm","Year round","Y",NA,NA,"31,33,38"
"12",-75.1455513136631,39.9507956158481,12,"Center City","Christ Church","On Church St, between 2nd and 3rd St",NA,"Wed","2-7pm","May - Late Fall",NA,"Y",NA,"48, 57"
"13",-75.145681057663,39.9501869460261,13,"Center City","High Street","3rd & Market St","In front of Fork Restaurant and  High Street Market","Sat","10am-2pm","Mid/late May-October",NA,NA,NA,"MFL (2nd st stop), 17, 33, 48, 57"
"14",-75.1667706590431,40.034734236978,14,"Germantown Chestnut Hill","Germantown Kitchen Garden","215 E. Penn St",NA,"Sat","9am-1pm","May - October","Y","Y",NA,"23"
"15",-75.171005656639,40.0272008023039,15,"Germantown Chestnut Hill","Hansberry Garden and Nature Center","5150 Wayne Ave","Corner of Wayne Ave and Hansberry St","Every other Sun ","11am-2pm","July - Sept",NA,NA,NA,"53, X, XH"
"16",-75.1925825608809,40.0074484839855,16,"Germantown Chestnut Hill","East Falls","Kelly Dr & N. Ferry Rd","In parking lot under Route 1","Sat","10am-2pm","June - November  ","Y","Y",NA,"61"
"17",-75.1967302963316,40.067426531761,17,"Germantown Chestnut Hill","Chestnut Hill Farmersâ€™ Market","Winston Rd. btw Germantown Ave. & Mermaid Lane",NA,"Sat","9am â€“ 1pm","Open year round (Dec-April 10am-12pm)",NA,"Y",NA,"23, 77, L, Chestnut Hill Line, Chestnut Hill West Line"
"18",-75.0910501833233,40.0382169895247,18,"Lower Northeast","Oxford Circle","900 East Howell St.","Parking lot in front of Oxford Circle Mennonite Church","Thurs","2-6pm","June 15thâ€“ November","Y","Y",NA,"19, 24, 67"
"19",-75.157806781098,39.97868299353,19,"North","Cecil B. Moore","Cecil B. Moore Ave between Broad and 13th",NA,"Thurs","2-6pm","June 1st â€“ November","Y","Y",NA,"4, 16, BSS"
"20",-75.1708493983673,39.9803614455087,20,"North","N. Philly YMCA- Stephen Klein Center","2144 Cecil B. Moore Ave","Near the Stephen Klein Wellness Center","1st & 3rd Wed","11am-3pm","May- November","Y","Y",NA,"3,33"
"21",-75.1471857569694,40.0166186895481,21,"North","Hunting Park","W. Hunting Park Ave. and Old York Ave",NA,"Sat","10am-2pm","May 27th- November 19th ","Y","Y",NA,"BSS (Hunting Park stop), 4,23"
"22",-75.1437604274493,40.0380560001882,22,"North","Park and Tabor","N. Park Ave. and W. Tabor Rd","Near Einstein Medical Center","Tues","2-6pm","May 23rd - November","Y","Y",NA,"18, 26, BSS"
"23",-75.1383539388355,39.9918609335467,23,"North","4th and Lehigh","4th St & Lehigh Ave.",NA,"Tues","12-4pm","July 11th - Early Sept","Y","Y",NA,"47, 54"
"24",-75.1498184029356,39.9905495218828,24,"North","11th & Dauphin","2515 N. 11th St",NA,"1st Fri & 2nd Sat","1st Fri 5-8pm, 2nd Sat 12-4pm",NA,"Y",NA,NA,"23, 39"
"25",-75.1870621574266,39.9886745079816,25,"North","33rd & Diamond","33rd & Diamond St","In front of Mander Playground","Wed","2-6pm","June 7th -November","Y","Y",NA,"7, 32, 39, 54, 61"
"26",-75.1776438897279,40.0055765473145,26,"North","SHARE Nice Roots Farm","2901 W. Hunting Park Ave",NA,"Tues & Thurs","2-4pm","May - November","Y","Y",NA,"R"
"27",-75.1722819412888,40.0040963680568,27,"North","26th and Allegheny","26th St and Allegheny Ave",NA,"Wed","1-5pm","July 12th - early Sept","Y","Y",NA,"48, 60"
"28",-75.0768437040259,40.0232670645821,28,"Northeast","Frankford Transportation Center ","Frankford and Bustleton Ave",NA,"Tues","2-6pm","June 6th - Late October ","Y","Y",NA,"MFL"
"29",-75.0407621224111,40.0368194435544,29,"Northeast","Mayfair","3500 block of Ryan Ave",NA,"1st & 3rd Thurs","5-9pm","June - October",NA,NA,NA,"66, 70"
"30",-75.2195711050108,40.0490190995169,30,"Northwest","Henry Got Crops!","7095 Henry Ave","At Saul High School","Tues, Fri","Tues & Fri 12-7pm","May 13th - October ","Y","Y",NA,"27"
"31",-75.1959153526179,40.0463866159979,31,"Northwest","Mt. Airy","Carpenter Lane and Greene St.",NA,"Thurs","3-7 pm","June 29th - August 31st",NA,"Y",NA,"H"
"32",-75.1685370372311,40.0319771050962,32,"Northwest","Gumblethorpe House","5267 Germantown Ave",NA,"Sat","9:30am-1:30pm","May - Sept","Y","Y",NA,"23"
"33",-75.1535160003583,40.0642950451906,33,"Olney Oak Lane","West Oak Lane","Ogontz Ave and Walnut Lane",NA,"Tues","2-6pm","July 11th - November 22nd ","Y","Y",NA,"6, XH"
"34",-75.2212958875633,40.0375281444809,34,"Roxborough Manayunk","Gorgas Park","Ridge Ave and Acorn St.",NA,"Fri","3-7pm","May  - November","Y","Y",NA,"9"
"35",-75.2208322366807,40.025987468258,35,"Roxborough Manayunk","Pretzel Park","4300 Silverwood St",NA,"Sat","10am-2pm","May â€“ November ",NA,NA,NA,"27, 61"
"36",-75.1597432066858,39.9230931015502,36,"South","Novick Family Urban Farm Stand","8th St and Snyder Ave",NA,"Wed","2-6pm",NA,"Y","Y",NA,NA
"37",-75.1814220711753,39.9321709401209,37,"South","22nd & Tasker","22nd and Tasker St.",NA,"Wed","2-6pm","July 12th- early Sept","Y","Y",NA,NA
"38",-75.1696299389046,39.9243813268779,38,"South","Broad and Snyder","Broad and Snyder St.",NA,"Tues","2-6pm","June  13th â€“ Late September","Y","Y",NA,"BSS"
"39",-75.1630892457008,39.9298098088771,39,"South","Fountain","East Passyunk Ave at 11th and Tasker St.",NA,"Wed","3-7pm","May - November ",NA,"Y",NA,"23, 29"
"40",-75.1511623661624,39.9269713114332,40,"South","Dickinson Square","East Moyamensing Ave. and Morris St.",NA,"Sun","10am-2pm","May - November ","Y","Y",NA,"2,29,47,57"
"41",-75.2160763250779,39.9327516234113,41,"Southwest","Sankofa Community Farm at Bartramâ€™s Garden","54th & Lindbergh Blvd","At the entrance to Bartram's Garden","Thurs","3:30-6:30pm","June-November","Y ","Y",NA,"36 trolley"
"42",-75.2285360591404,39.9357418193926,42,"Southwest","58th & Chester","58th St and Chester Ave",NA,"Wed","2-6pm","July 12th -November","Y","Y",NA,"13 trolley, G"
"43",-75.2245930345067,39.9649051065407,43,"West","52nd & Haverford","52nd St and Haverford Ave.",NA,"Wed","12-4pm","July 12th â€“ November","Y","Y",NA,"30, 52"
"44",-75.2092619487418,39.949550820199,44,"West","Clark Park","43rd St. and Baltimore Ave.",NA,"Thurs & Sat","Thurs 3-7pm, Sat 10am-2pm","Thurs open June 1st â€“ November, Sat open year round","Y","Y",NA,"13, 30, 34"
"45",-75.2263309514294,39.9477842508721,45,"West","Greensgrow West","5123 Baltimore Ave",NA,"Mon, Thur-Sun","Mon & Thurs & Fri 10am-6pm, Sat & Sun 10am-4pm",NA,"Y",NA,NA,NA
"46",-75.2540024406933,39.9883139630334,46,"West","Overbrook","Lancaster & City Ave","At the Overbrook Presbyterian Church","Sat","9am-1pm","May 20thâ€“ November","Y","Y",NA,"65, 105, G, R5 Paoli-Thorndale Line"
"47",-75.2166792275965,39.997361115344,47,"West","Heritage Farm ","4300 Monument Rd",NA,"Thurs","3:30-5:30pm","May 18th - September","Y","Y",NA,"38, 40"
"48",-75.194789105576,39.9531513261396,48,"West","University Square","36th and Walnut St.",NA,"Wed","10am-5pm","March - end of November",NA,"Y",NA,"21"
"49",-75.1957410468211,39.9596740906511,49,"West","Lancaster Ave","Lancaster Ave and Powelton St.",NA,"Sat","10am-4pm","May-end of Oct","Y","Y",NA,"31"
"50",-75.2098110433222,39.9735310204868,50,"West","42nd and Girard","4159 W. Girard Ave","First African Presbyterian Church","2nd Fri","1-5pm","June- October","Y","Y",NA,"15 trolley, 40 bus"
"51",-75.2245154133249,39.9583876582771,51,"West","W. Philly YMCA Market","5120 Chestnut St","At the West Philly YMCA","1st & 3rd Fri","10am-2pm","May - November","Y","Y",NA,NA
"52",-75.2268978836898,39.9693858149367,52,"West","Neighborhood Foods Farm ","608 N. 53rd St","Near Neighborhood Foods Farm","Sat","10am-2pm","May â€“ November","Y","Y",NA,"52"
"53",-75.2135178199909,39.9586035951598,53,"West","Walnut Hill","4601 Market St",NA,"Thurs","3-7pm","May- November","Y","Y",NA,"MFL (46th st stop), 30, 31, 64"
"54",-75.2185591697756,39.966137386124,54,"West","Mill Creek Farm","4901 Brown St","Between 49th and 50th Streets","Sat","11am-2pm","June 10th- December","Y","Y",NA,"30, 52, 64"
